Date,Open,High,Low,Close,Volume,Ticker,Year,Month,YearMonth,Daily_Return,MA_30
2020-01-02,93.75,94.90049743652344,93.2074966430664,94.90049743652344,80580000,AMZN,2020,1,2020-01,,94.90049743652344
2020-01-03,93.2249984741211,94.30999755859376,93.2249984741211,93.74849700927734,75288000,AMZN,2020,1,2020-01,-0.012139034655920922,94.32449722290039
2020-01-06,93.0,95.18450164794922,93.0,95.1439971923828,81236000,AMZN,2020,1,2020-01,0.01488557393050649,94.59766387939453
2020-01-07,95.2249984741211,95.69450378417967,94.60199737548828,95.34300231933594,80898000,AMZN,2020,1,2020-01,0.0020916204156395946,94.78399848937988
2020-01-08,94.9020004272461,95.5500030517578,94.3219985961914,94.59850311279295,70160000,AMZN,2020,1,2020-01,-0.007808640261289468,94.7468994140625
2020-01-09,95.49449920654295,95.89099884033205,94.79000091552734,95.05249786376952,63346000,AMZN,2020,1,2020-01,0.0047991747864684076,94.79783248901367
2020-01-10,95.26850128173828,95.34700012207033,94.0,94.15799713134766,57074000,AMZN,2020,1,2020-01,-0.009410596802031157,94.70642743791852
2020-01-13,94.56549835205078,94.9000015258789,94.04000091552734,94.56500244140624,55616000,AMZN,2020,1,2020-01,0.00432257824569926,94.68874931335449
2020-01-14,94.29399871826172,94.35549926757812,92.92749786376952,93.47200012207033,68818000,AMZN,2020,1,2020-01,-0.01155821171805238,94.55355495876736
2020-01-15,93.6125030517578,93.94300079345705,92.75450134277344,93.10099792480467,57932000,AMZN,2020,1,2020-01,-0.003969126548925228,94.40829925537109
2020-01-16,94.14949798583984,94.27950286865234,93.3010025024414,93.89700317382812,53190000,AMZN,2020,1,2020-01,0.00854991102959346,94.36181779341264
2020-01-17,94.29450225830078,94.33200073242188,92.8625030517578,93.23600006103516,79946000,AMZN,2020,1,2020-01,-0.00703966144232826,94.26799964904785
2020-01-21,93.25,94.7135009765625,93.0,94.5999984741211,74156000,AMZN,2020,1,2020-01,0.014629525206926841,94.29353802020734
2020-01-22,94.80449676513672,95.125,94.16699981689452,94.3730010986328,64326000,AMZN,2020,1,2020-01,-0.0023995494624705627,94.29921395438058
2020-01-23,94.25550079345705,94.4990005493164,93.63800048828124,94.22899627685548,49692000,AMZN,2020,1,2020-01,-0.0015259112256779117,94.2945327758789
2020-01-24,94.56849670410156,94.74949645996094,92.37200164794922,93.08200073242188,75324000,AMZN,2020,1,2020-01,-0.012172426638861866,94.21874952316284
2020-01-27,91.0,92.0500030517578,90.76699829101562,91.41699981689452,70570000,AMZN,2020,1,2020-01,-0.01788746376771222,94.05394071691177
2020-01-28,92.0250015258789,92.90550231933594,91.5009994506836,92.6624984741211,56160000,AMZN,2020,1,2020-01,0.01362436592451366,93.97663837009006
2020-01-29,93.1999969482422,93.7375030517578,92.7509994506836,92.9000015258789,41760000,AMZN,2020,1,2020-01,0.0025630978623367717,93.91997327302632
2020-01-30,92.9000015258789,93.64350128173828,92.53050231933594,93.53399658203124,126548000,AMZN,2020,1,2020-01,0.006824489189870775,93.90067443847656
2020-01-31,102.57350158691406,102.78600311279295,100.1135025024414,100.43599700927734,311346000,AMZN,2020,1,2020-01,0.07379135586484753,94.21188027518136
2020-02-03,100.52999877929688,102.4250030517578,100.0124969482422,100.20999908447266,117834000,AMZN,2020,2,2020-02,-0.0022501685803328897,94.48452203924006
2020-02-04,101.49400329589844,102.98999786376952,100.76850128173828,102.4834976196289,105786000,AMZN,2020,2,2020-02,0.022687342140775613,94.83230358621348
2020-02-05,103.5510025024414,103.5510025024414,101.5999984741211,101.99349975585938,87524000,AMZN,2020,2,2020-02,-0.004781236737139594,95.13068675994873
2020-02-06,102.0510025024414,102.81500244140624,101.23999786376952,102.5114974975586,63660000,AMZN,2020,2,2020-02,0.0050787328892443195,95.42591918945313
2020-02-07,102.09950256347656,104.92649841308594,101.90499877929688,103.96399688720705,101906000,AMZN,2020,2,2020-02,0.014169136390608683,95.75430679321289
2020-02-10,104.25050354003906,106.77999877929688,104.2480010986328,106.69550323486328,101124000,AMZN,2020,2,2020-02,0.026273579599096264,96.1595362910518
2020-02-11,107.54499816894533,109.29750061035156,106.8000030517578,107.54000091552734,114920000,AMZN,2020,2,2020-02,0.007915025985726132,96.56598145621163
2020-02-12,108.16000366210938,109.0124969482422,107.7645034790039,108.0,66686000,AMZN,2020,2,2020-02,0.004277469597884664,96.96025795772158
2020-02-13,107.24949645996094,108.51399993896484,107.0999984741211,107.49349975585938,60636000,AMZN,2020,2,2020-02,-0.00468981707537619,97.31136601765951
2020-02-14,107.78399658203124,107.9520034790039,106.29450225830078,106.74349975585938,52124000,AMZN,2020,2,2020-02,-0.006977166077050345,97.70613276163736
2020-02-18,106.2509994506836,108.30349731445312,106.20549774169922,107.78350067138672,58912000,AMZN,2020,2,2020-02,0.009742990607446878,98.17396621704101
2020-02-19,108.38999938964844,109.25499725341795,108.05599975585938,108.51100158691406,51224000,AMZN,2020,2,2020-02,0.006749650094826309,98.61953303019206
2020-02-20,108.65350341796876,108.8395004272461,106.37249755859376,107.65499877929688,62626000,AMZN,2020,2,2020-02,-0.007888626914309249,99.02993291219076
2020-02-21,107.10749816894533,107.22750091552734,104.4000015258789,104.79850006103516,92926000,AMZN,2020,2,2020-02,-0.026533823330561868,99.3699328104655
2020-02-24,100.15899658203124,101.96499633789062,99.39849853515624,100.4645004272461,130940000,AMZN,2020,2,2020-02,-0.04135555023463999,99.5503328959147
2020-02-25,101.3209991455078,101.7300033569336,97.9209976196289,98.63700103759766,124382000,AMZN,2020,2,2020-02,-0.018190498951138112,99.69963302612305
2020-02-26,98.51399993896484,100.7334976196289,98.02249908447266,98.97949981689452,104492000,AMZN,2020,2,2020-02,0.003472315416060745,99.84678293863932
2020-02-27,96.71900177001952,98.75,94.13800048828124,94.21499633789062,162880000,AMZN,2020,2,2020-02,-0.048136265467272565,99.87154947916666
2020-02-28,90.73149871826172,94.48799896240234,90.55650329589844,94.1875,189620000,AMZN,2020,2,2020-02,-0.0002918467224900523,99.9077662150065
2020-03-02,95.32450103759766,97.72550201416016,93.5,97.69750213623048,135234000,AMZN,2020,3,2020-03,0.03726611425327664,100.03444951375326
2020-03-03,98.76850128173828,99.81649780273438,94.40450286865234,95.44950103759766,150690000,AMZN,2020,3,2020-03,-0.023009811402324165,100.10823287963868
2020-03-04,97.32849884033205,98.9000015258789,96.0999984741211,98.79149627685548,95458000,AMZN,2020,3,2020-03,0.035013229015638414,100.24794947306314
2020-03-05,96.6500015258789,98.03600311279295,95.5,96.20149993896484,94964000,AMZN,2020,3,2020-03,-0.026216794314283698,100.30889943440755
2020-03-06,93.75,95.5435028076172,93.4749984741211,95.05449676513672,105472000,AMZN,2020,3,2020-03,-0.011922924014239333,100.33641611735025
2020-03-09,88.69300079345703,93.13849639892578,88.06449890136719,90.03050231933594,156264000,AMZN,2020,3,2020-03,-0.05285383245165354,100.23469950358073
2020-03-10,93.54399871826172,94.7135009765625,90.90850067138672,94.59100341796876,142666000,AMZN,2020,3,2020-03,0.05065506668458708,100.34049962361654
2020-03-11,92.89250183105467,93.56600189208984,90.0749969482422,91.04299926757812,112496000,AMZN,2020,3,2020-03,-0.037508896429749194,100.28651631673178
2020-03-12,86.0989990234375,88.25,83.75,83.83049774169922,226924000,AMZN,2020,3,2020-03,-0.07922082514747941,99.98419952392578
2020-03-13,87.75,89.31549835205078,84.03099822998047,89.25,176194000,AMZN,2020,3,2020-03,0.06464833687376514,99.84139963785807
2020-03-16,82.07550048828125,87.97250366210938,81.30149841308594,84.4574966430664,178346000,AMZN,2020,3,2020-03,-0.053697516604298,99.30878295898438
2020-03-17,88.77349853515625,92.88899993896484,84.46199798583984,90.39199829101562,218342000,AMZN,2020,3,2020-03,0.07026613247879654,98.98151626586915
2020-03-18,87.5,92.08300018310548,87.25,91.5,192904000,AMZN,2020,3,2020-03,0.012257741060410998,98.61539967854817
2020-03-19,93.0,97.25,91.63249969482422,94.04650115966795,207998000,AMZN,2020,3,2020-03,0.02783061376686291,98.35049972534179
2020-03-20,96.31549835205078,97.8499984741211,91.0364990234375,92.30449676513672,196358000,AMZN,2020,3,2020-03,-0.018522798541688812,98.0102663675944
2020-03-23,91.3874969482422,95.97000122070312,90.5999984741211,95.1415023803711,156170000,AMZN,2020,3,2020-03,0.030735291504301987,97.71618321736653
2020-03-24,97.5749969482422,97.75,95.01699829101562,97.00499725341795,142942000,AMZN,2020,3,2020-03,0.019586561347294085,97.39316635131836
2020-03-25,96.03450012207033,97.51300048828124,94.28900146484376,94.29199981689452,129582000,AMZN,2020,3,2020-03,-0.027967604900147047,96.95156631469726
2020-03-26,95.0999984741211,97.82450103759766,94.4645004272461,97.77449798583984,124426000,AMZN,2020,3,2020-03,0.03693312450375408,96.6107162475586
