Date,Open,High,Low,Close,Volume,Ticker
2020-01-02,5.942207075173676,5.971077919006348,5.891682979787332,5.971077919006348,237536000,NVDA
2020-01-03,5.851362305182769,5.9193089700123815,5.826473387405685,5.875504493713379,205384000,NVDA
2020-01-06,5.782172259318857,5.905371684641664,5.756039105428163,5.900145053863525,262636000,NVDA
2020-01-07,5.928516566383579,6.0173697369100445,5.883467865087548,5.971574306488037,314856000,NVDA
2020-01-08,5.967342646120171,6.024089307661958,5.927271825956355,5.982773780822754,277108000,NVDA
2020-01-09,6.069139231981593,6.12090802671999,5.994721708224297,6.048481464385986,255112000,NVDA
2020-01-10,6.155751792284249,6.186116088078672,6.0666498661842505,6.080836296081543,316296000,NVDA
2020-01-13,6.163965346925587,6.296622518260619,6.141316144751401,6.271484851837158,319840000,NVDA
2020-01-14,6.228677860610162,6.2540647613811355,6.141318116147422,6.154509544372559,359088000,NVDA
2020-01-15,6.167201711413345,6.189601691642836,6.086064089642818,6.111948490142822,263104000,NVDA
2020-01-16,6.165459211777373,6.201548119865506,6.142063751814368,6.195574760437012,284192000,NVDA
2020-01-17,6.214738881645233,6.222205699382475,6.156747973897517,6.204285621643066,253792000,NVDA
2020-01-21,6.167699961913598,6.204535602628313,6.136837681171992,6.17093563079834,217916000,NVDA
2020-01-22,6.216232111329572,6.311556154821581,6.197316553531429,6.224943161010742,239240000,NVDA
2020-01-23,6.265014550653041,6.301849711322332,6.176161367963246,6.293387413024902,244516000,NVDA
2020-01-24,6.408870786307661,6.4586486133694825,6.179893636313056,6.234151363372803,373512000,NVDA
2020-01-27,5.9295134446454965,6.029317874683954,5.77993165006869,5.978295803070068,470536000,NVDA
2020-01-28,6.044250844374252,6.204037143136165,5.990988586548067,6.171681880950928,310976000,NVDA
2020-01-29,6.157246913273361,6.193335825898142,6.071380157392558,6.111202716827393,258848000,NVDA
2020-01-30,6.013388746744023,6.131362007202673,5.958384751904467,6.117921829223633,290504000,NVDA
2020-01-31,6.072126406970737,6.084073126385558,5.842651697517958,5.884464740753174,370420000,NVDA
2020-02-03,5.866296047468316,6.000944683491805,5.860073936086424,5.981531620025635,255564000,NVDA
2020-02-04,6.12339567310235,6.1699378282412995,6.073369098849962,6.150773048400879,271544000,NVDA
2020-02-05,6.271735301395451,6.2819398115033085,6.1577444293662715,6.241122245788574,208220000,NVDA
2020-02-06,6.275468324748292,6.327983379364014,6.194330704477738,6.327983379364014,218284000,NVDA
2020-02-07,6.287912938328408,6.310064167998149,6.236392886603285,6.26177978515625,189752000,NVDA
2020-02-10,6.284429085031176,6.545761589769547,6.279451205487257,6.545015335083008,529608000,NVDA
